distance,velocity,density,pressure,gamma,quality,void_fraction,speed_of_sound,enthalpy,total_enthalpy,mach_number,mass_flow,area,area_slope,perimeter,diameter,stress_wall,determinant_D,determinant_N1,determinant_N2,determinant_N3
0.0530958475387992,33.09298925046226,672.2745387693958,11644602.24700277,5.309584753879918e-08,,0.0,808.824019263575,1452575.893171307,1453123.4661400726,0.040914943748323704,15.289369073492773,0.0006872375844295278,-0.025455344772622526,0.09281122539012748,0.029542730590509624,1401.969309878799,-14931439.97521127,410702271575290.4,-18333469436.997696,606709307002.243
0.05391069680361628,33.84398734480526,672.248353843283,11627545.097858742,5.3910696803616256e-08,,0.0,808.6849508536607,1452550.7584917815,1453123.4662314793,0.041850645679852215,15.125951730895938,0.0006648312710415041,-0.016467832988005006,0.0913732296733434,0.029085002337567303,1471.0032198860024,-15267913.658993043,294809575171802.94,-12822099590.288746,433950976267.56494
0.05474261539799413,34.557378624344246,672.2228900048877,11610970.796765016,5.474261539799411e-08,,0.0,808.5497267623026,1452526.3600227882,1453123.4662314814,0.042739954613210104,15.1259517308653,0.0006511313745696737,-0.0164678329880049,0.09038038114574726,0.02876896883575043,1537.0466612573812,-15587387.491205906,320386022009493.94,-13648596295.198221,471659709863.98706
0.05648792292518513,36.1563832140248,672.1638686524109,11572572.966718744,5.648792292518511e-08,,0.0,808.2362312702646,1452469.8242084056,1453123.4662319652,0.04473492008295596,15.125951726495707,0.0006223899416991844,-0.016467832988005006,0.08829745377727084,0.0281059524621616,1690.5024067430893,-16302917.158164605,383720618148336.5,-15628131634.260763,565056716287.5557
0.05831728643522119,37.99952077674222,672.0924904479399,11526171.848473726,5.831728643522116e-08,,0.0,807.8569793387136,1452401.4844432885,1453123.4662329196,0.047037435769692104,15.125951718532573,0.0005922642889415601,-0.016467832988005006,0.08611421027285594,0.027411004470759795,1876.705902228958,-17126722.2808527,467860359324831.1,-18136320981.988983,689171505968.7561
0.0604492791238953,40.39998436096744,671.9941431395201,11462303.975005204,6.044927912389528e-08,,0.0,807.3342171416184,1452307.3868687581,1453123.4662369413,0.050041214038969294,15.125951688807543,0.0005571549894128273,-0.016467832988005006,0.08356979569178888,0.026601092155055957,2134.1938970812694,-18197984.13387501,597272572026347.0,-21785585090.37275,880137296945.5844
0.06108784670075702,41.17920500201862,671.9609052816573,11440736.188772602,6.1087846700757e-08,,0.0,807.1574862664228,1452275.6027746415,1453123.4662369406,0.05101755940156935,15.125951688790227,0.0005466391652055134,-0.016467832988005006,0.08280770083930881,0.02635850982930178,2221.424622738539,-18545310.94446734,644529972996930.0,-23067235956.960876,949890438301.627
0.061738560621230995,41.938893808159044,671.9278404531528,11419297.0834629,6.173856062123097e-08,,0.0,806.981677999777,1452244.0308786237,1453123.4662855498,0.05197006939749954,15.102271027332616,0.0005359233170401781,-0.013302864611951454,0.08203111000194203,0.026111313288248183,2308.561330702697,-18883725.34864107,562169648993024.6,-19712514677.178654,826721059737.9722
0.062296248400809974,42.45677153100776,671.904846413215,11404412.800666964,6.229624840080995e-08,,0.0,806.8594791853235,1452222.1775664305,1453123.4662908486,0.052619784022213956,15.041675403580143,0.0005272802105476997,-0.010534997461832726,0.08139729735153342,0.02590956445563477,2369.7077119793153,-19114298.043666407,470848452982015.1,-16260300126.244246,690359847485.5685
0.0628603426470435,42.942133453939775,671.8829920640138,11390278.597496018,6.286034264704348e-08,,0.0,806.7433581980322,1452201.4528780638,1453123.4662908518,0.05322898914204475,15.041675403579488,0.0005213374790953951,-0.010534997461832833,0.08092060375142836,0.025757828170040787,2427.0978940269633,-19330303.302424643,492653320168189.1,-16822735406.72588,722404148895.9407
