distance,velocity,density,pressure,gamma,quality,void_fraction,speed_of_sound,enthalpy,entropy,total_enthalpy,mach_number,mass_flow,area,area_slope,perimeter,diameter,stress_wall,determinant_D,determinant_N1,determinant_N2,determinant_N3
0.05072732607007597,36.668532228439155,705.8755281845051,11547293.974508377,5.072732607007598e-08,,0.0,901.1981338100215,1373479.1972899763,3297.3536448750533,1374151.4879178703,0.04068864642829933,20.355816993114182,0.0007864423381251092,-0.04188467573783847,0.09875606945862837,0.031435033229334525,1782.8622835966635,-18240224.47720995,927628280938584.9,-35680937098.92526,1308367591952.851
0.05181542780382938,38.9283349037913,705.8007834874008,11486739.873022325,5.1815427803829395e-08,,0.0,900.7971214707247,1373393.7802918819,3297.3542900026655,1374151.4879210726,0.043215429951900045,20.355816958519135,0.0007408675498370677,-0.041884675737838356,0.09602500063647561,0.030565707023394978,2020.6298459978475,-19356118.176753234,1177706419534802.5,-42679141034.53368,1661427895598.469
0.05222347828182205,39.849371248578834,705.7690230493893,11461024.800602729,5.222347828182206e-08,,0.0,900.6266915292997,1373357.5017266446,3297.3545598315277,1374151.487921098,0.04424626942924934,20.35581695843318,0.0007237764878816749,-0.04188467573783858,0.09500081888605588,0.03023969984698736,2121.9050917217855,-19810507.133605234,1292901937044666.2,-45774560123.71016,1824087440110.1191
0.052493620401033794,40.48299927952902,705.74673679125,11442986.146103054,5.249362040103381e-08,,0.0,900.5070897517185,1373332.0513090373,3297.3547479280633,1374151.4879243704,0.04495578073759609,20.355560517693167,0.0007124616728153585,-0.0407620572328882,0.09432277868407539,0.030023872947466917,2193.049511363175,-20122958.489725493,1340177585195792.2,-46702847528.96009,1890671342866.845
0.05276790750057912,41.07403477965119,705.7256114844937,11425895.552449591,5.276790750057914e-08,,0.0,900.3937229415844,1373307.9497578328,3297.354946893546,1374151.4879243728,0.04561785997959027,20.319110315016864,0.0007009732465918302,-0.03379054515543665,0.09363433483489327,0.02980473446418982,2260.8771844235885,-20414296.589656807,1180279727319725.2,-40504868576.45084,1663698380654.343
0.05325831170612843,41.88652704517511,705.695992242539,11401958.685924616,5.3258311706128443e-08,,0.0,900.2348191621005,1373274.2473500327,3297.35532084568,1374151.4879239858,0.046528445860560326,20.11301885462113,0.0006804328254619252,-0.02132601857913292,0.09240345026364247,0.029412931736409596,2357.571251529724,-20814617.445849467,816154834849524.4,-27385452545.09718,1147081498674.5725
0.05375644806083324,42.430679850452016,705.6757188862563,11385606.90209028,5.375644806083325e-08,,0.0,900.1261334348279,1373251.3066595504,3297.3557196724205,1374151.487955836,0.047138593441942475,19.98263541461495,0.0006673714135762649,-0.016467832988005006,0.09155731696047782,0.029143599140982943,2423.790203876109,-21082603.572024103,669439487560963.9,-22123519076.73793,938715955110.4348
0.054287488475485854,42.995364286095445,705.6543840324957,11368407.079835102,5.428748847548587e-08,,0.0,900.0117615770313,1373227.1872808044,3297.356159552413,1374151.4879558515,0.04777200268000665,19.982635414612574,0.0006586263287178847,-0.0164678329880049,0.09092354978981348,0.028941864785021757,2492.2272734793187,-21360600.467447545,705667987857012.2,-23016541541.657764,989604588189.6244
0.06004415873788591,50.24574822238403,705.355050903362,11127508.346315484,6.004415873788592e-08,,0.0,898.4061161258181,1372889.1718245002,3297.362105646887,1374151.4894317137,0.05592765601269272,19.98262504976643,0.0005638264442696659,-0.016467832988005006,0.08405328431852091,0.02675499136480219,3458.148291860982,-24920360.416824877,1313112740529052.0,-36688078582.663765,1843419959227.564
0.0610327526447642,51.74465952810536,705.287265151361,11073065.88406421,6.103275264476421e-08,,0.0,898.0422587867936,1372812.7345369228,3297.363403600884,1374151.4894317626,0.057619403788424825,19.982625049405847,0.000547546444918235,-0.016467832988005006,0.08287345252792527,0.026379439241821675,3678.04996531461,-25653897.989263497,1476225956376389.5,-40058933120.13641,2072835855360.6016
